S.No,Published Date,Bid Closing Date,Tender Opening Date,Title,Etender Ref,Tender ID,Organisation Chain,Tender Value (INR),Page,Scraped At
53,21-04-2026 17:00,29-04-2026 17:00,30-04-2026 17:00,"Construction of C.C. Road and Steps at Shivaji Udyan Jawhar Municipal Council Area, Jawhar Taluka Jawhar District Palghar Ow/E-Notice/757/2026-27-2",,2026_DMA_1296787_1,Directorate Of Municipal Administration||Municipal Administration Palghar||Municipal Council Jawhar,"16,82,448",6,21-04-2026 19:10
54,21-04-2026 17:00,28-04-2026 17:00,29-04-2026 17:00,E-TENDER NO.01/2025-2026 E-TENDER NO.01/2025 -2026,,2026_BEED_1296800_1,RDD-CEO-BEED||BEED-Dy. CEO V.P.||WADWANI||PUSARA,"11,24,370",6,21-04-2026 19:10
55,21-04-2026 17:00,28-04-2026 17:00,29-04-2026 17:00,Pre Monsoon Cleaning of Major Drains and Sub drains in Jalgaon City Ward No 01 to 19 E TENDER NOTICE NO. 05 / 2026-27,,2026_JCMCJ_1296813_1,Jalgaon City Municipal Corporation Jalgaon,"33,54,120",6,21-04-2026 19:10
56,21-04-2026 17:00,29-04-2026 17:00,30-04-2026 17:00,S.T.B.T. And R.C.C. Gutter from Shivneri Daba to Kuldeep Hotel Road for Jawhar Municipal Council Area Taluka Jawhar District Palghar Ow/E-Notice/757/2026-27-3,,2026_DMA_1296796_1,Directorate Of Municipal Administration||Municipal Administration Palghar||Municipal Council Jawhar,"58,27,363",6,21-04-2026 19:10
57,21-04-2026 17:00,29-04-2026 17:00,30-04-2026 17:00,"Construction of Road and R.C.C. Gutter in S.No. 100 And 101B for Jawhar Municipal Council Area, Jawhar Taluka Jawhar District Palghar Ow/E-Notice/757/2026-27-4",,2026_DMA_1296830_1,Directorate Of Municipal Administration||Municipal Administration Palghar||Municipal Council Jawhar,"41,24,176",6,21-04-2026 19:10
58,21-04-2026 17:00,29-04-2026 17:00,30-04-2026 17:00,Construction of R.C.C. Gutter and C.C. Road in Jawhar Municipal Council Ward No.7 Area Taluka Jawhar District Palghar. Ow/E-Notice/757/2026-27-5,,2026_DMA_1296850_1,Directorate Of Municipal Administration||Municipal Administration Palghar||Municipal Council Jawhar,"13,67,715",6,21-04-2026 19:10
59,21-04-2026 17:00,29-04-2026 17:00,30-04-2026 17:00,Construction of R.C.C. Gutter and C.C. Road in Jawhar Municipal Council Ward No.8 Area Taluka Jawhar District Palghar. Ow/E-Notice/757/2026-27-6,,2026_DMA_1296869_1,Directorate Of Municipal Administration||Municipal Administration Palghar||Municipal Council Jawhar,"25,38,911",6,21-04-2026 19:10
60,21-04-2026 17:00,28-04-2026 17:00,30-04-2026 15:00,"IMPLEMENTATION OF ABC PROGRAM FOR CATCHING OF DOG , VACCINATION , STERLIZATION FOR MUNICIPAL COUNICIL PANDHARKAWADA 108/2026",,2026_DMA_1296906_1,"Directorate Of Municipal Administration||Municipal Administration, Yavatmal||Municipal Council, Padharkawada||Administration",NA,6,21-04-2026 19:10
61,21-04-2026 17:00,28-04-2026 15:00,29-04-2026 15:05,"Beautification work and PF Sitting Arrangement at Amrut Nagar, Goregaon (W) EE/West/MSIB / e-tender / DDR / 18 / 2026-27",,2026_MHADA_1296914_1,Maharashtra Housing and Area Development Authority||Slum Improvement Board - Mumbai,"21,09,705",7,21-04-2026 19:10
62,21-04-2026 17:00,28-04-2026 15:00,29-04-2026 15:05,"Beautification work and PF Sitting Arrangement at Khair Nagar, Zakaria Nagar, Bandra (E) EE/West/MSIB / e-tender / DDR / 18 / 2026-27",,2026_MHADA_1296914_2,Maharashtra Housing and Area Development Authority||Slum Improvement Board - Mumbai,"21,09,705",7,21-04-2026 19:10
